Date Diesel E5 E10
|(5, 2016)| 2099 1999 2000
|(6, 2016)| 1999 1999 2000
|(7, 2016)| 2178 2144 2134
|(8, 2016)| 2000 2000 2200
|(9, 2016)| 2129 1999 2000
|(10, 2016)| 2119 2169 2000
|(11, 2016)| 2198 2123 2000
|(12, 2016)| 2089 2016 2017
|(1, 2017)| 2189 1999 2000
|(2, 2017)| 1999 1999 2000
|(3, 2017)| 2200 1999 2199
|(4, 2017)| 2111 2017 2017
|(5, 2017)| 1999 1999 2017
|(6, 2017)| 2119 1999 2017
|(7, 2017)| 2138 1999 2199
|(8, 2017)| 1999 1999 2017
|(9, 2017)| 2000 1999 2200
|(10, 2017)| 2109 2109 2017
|(11, 2017)| 1999 2189 2169
|(12, 2017)| 2017 2017 2018
|(1, 2018)| 2179 2039 2019
|(2, 2018)| 1999 1999 2000
|(3, 2018)| 2004 2002 2001
|(4, 2018)| 1999 1999 2000
|(5, 2018)| 2009 2069 2029
|(6, 2018)| 2169 2199 2169
|(7, 2018)| 2119 1999 2000
